,Station,Date,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset,CodeSum,ResultSpeed,ResultDir
0,1,2007-05-01,83,50,67.0,14.0,51,56.0,0.0,2.0,0448,1849, ,1.7,27
1,2,2007-05-01,84,52,68.0,14.5,51,57.0,0.0,3.0,-,-, ,2.7,25
2,1,2007-05-02,59,42,51.0,-3.0,42,47.0,14.0,0.0,0447,1850,BR,13.0,4
3,2,2007-05-02,60,43,52.0,-1.5,42,47.0,13.0,0.0,-,-,BR HZ,13.3,2
4,1,2007-05-03,66,46,56.0,2.0,40,48.0,9.0,0.0,0446,1851, ,11.7,7
5,2,2007-05-03,67,48,58.0,4.5,40,50.0,7.0,0.0,-,-,HZ,12.9,6
6,1,2007-05-04,66,49,58.0,4.0,41,50.0,7.0,0.0,0444,1852,RA,10.4,8
8,1,2007-05-05,66,53,60.0,5.0,38,49.0,5.0,0.0,0443,1853, ,11.7,7
9,2,2007-05-05,66,54,60.0,6.5,39,50.0,5.0,0.0,-,-, ,11.2,7
10,1,2007-05-06,68,49,59.0,4.0,30,46.0,6.0,0.0,0442,1855, ,14.4,11
11,2,2007-05-06,68,52,60.0,6.5,30,46.0,5.0,0.0,-,-, ,13.8,10
12,1,2007-05-07,83,47,65.0,10.0,41,54.0,0.0,0.0,0441,1856,RA,8.6,18
13,2,2007-05-07,84,50,67.0,13.5,39,53.0,0.0,2.0,-,-, ,8.5,17
14,1,2007-05-08,82,54,68.0,12.0,58,62.0,0.0,3.0,0439,1857,BR,2.7,11
15,2,2007-05-08,80,60,70.0,16.5,57,63.0,0.0,5.0,-,-,HZ,2.5,8
16,1,2007-05-09,77,61,69.0,13.0,59,63.0,0.0,4.0,0438,1858,BR HZ,3.9,9
17,2,2007-05-09,76,63,70.0,16.5,60,63.0,0.0,5.0,-,-,BR HZ,3.9,7
18,1,2007-05-10,84,56,70.0,14.0,52,60.0,0.0,5.0,0437,1859,BR,0.7,17
19,2,2007-05-10,83,59,71.0,17.5,52,61.0,0.0,6.0,-,-,BR HZ,2.0,9
20,1,2007-05-11,70,51,61.0,4.0,42,51.0,4.0,0.0,0436,1860, ,11.3,3
21,2,2007-05-11,73,49,61.0,7.5,44,51.0,4.0,0.0,-,-, ,11.7,36
22,1,2007-05-12,64,46,55.0,-2.0,36,46.0,10.0,0.0,0435,1901, ,12.4,3
23,2,2007-05-12,65,47,56.0,2.5,37,46.0,9.0,0.0,-,-, ,12.7,1
24,1,2007-05-13,69,43,56.0,-2.0,33,46.0,9.0,0.0,0434,1902, ,6.6,14
25,2,2007-05-13,69,44,57.0,3.5,32,46.0,8.0,0.0,-,-, ,6.4,11
26,1,2007-05-14,90,56,73.0,15.0,47,59.0,0.0,8.0,0433,1903, ,16.9,21
27,2,2007-05-14,90,54,72.0,18.5,45,58.0,0.0,7.0,-,-, ,14.1,21
28,1,2007-05-15,80,57,69.0,11.0,56,61.0,0.0,4.0,0432,1904,RA BR,8.1,27
29,2,2007-05-15,82,56,69.0,15.5,56,61.0,0.0,4.0,-,-,TSRA RA BR,8.1,25
30,1,2007-05-16,66,44,55.0,-4.0,43,48.0,10.0,0.0,0431,1905,RA BR,7.8,36
31,2,2007-05-16,64,45,55.0,1.5,42,47.0,10.0,0.0,-,-,RA BR,8.0,36
32,1,2007-05-17,62,43,53.0,-6.0,32,43.0,12.0,0.0,0430,1906, ,10.5,3
33,2,2007-05-17,61,44,53.0,-0.5,32,43.0,12.0,0.0,-,-, ,11.7,1
34,1,2007-05-18,71,42,57.0,-3.0,30,46.0,8.0,0.0,0429,1907, ,5.4,25
35,2,2007-05-18,70,43,57.0,3.5,31,47.0,8.0,0.0,-,-, ,3.4,22
36,1,2007-05-19,80,56,68.0,8.0,39,53.0,0.0,3.0,0428,1908, ,11.1,24
